Step;RediscrTime/s;RANDOM-phi1-PHI-phi2;0-60-55-45;1-0-30-45;SumRediscrVolume=8e+06
435;204.387;0;2.53319e+06;5.46681e+06;
436;204.855;0;2.51499e+06;5.48501e+06;
437;205.324;0;2.49611e+06;5.50389e+06;
438;205.793;0;2.47246e+06;5.52754e+06;
439;206.262;0;2.44881e+06;5.55119e+06;
440;206.73;0;2.42517e+06;5.57483e+06;
441;207.199;0;2.41304e+06;5.58696e+06;
442;207.668;0;2.40244e+06;5.59756e+06;
443;208.137;0;2.39184e+06;5.60816e+06;
444;208.606;0;2.37459e+06;5.62541e+06;
445;209.074;0;2.35359e+06;5.64641e+06;
446;209.543;0;2.33259e+06;5.66741e+06;
447;210.012;0;2.30965e+06;5.69035e+06;
448;210.481;0;2.28373e+06;5.71627e+06;
449;210.949;0;2.25781e+06;5.74219e+06;
450;211.418;0;2.23373e+06;5.76627e+06;
451;211.887;0;2.2199e+06;5.7801e+06;
452;212.356;0;2.20606e+06;5.79394e+06;
453;212.824;0;2.19223e+06;5.80777e+06;
454;213.293;0;2.17839e+06;5.82161e+06;
455;213.762;0;2.16455e+06;5.83545e+06;
456;214.231;0;2.15072e+06;5.84928e+06;
457;214.7;0;2.12827e+06;5.87173e+06;
458;215.168;0;2.10149e+06;5.89851e+06;
459;215.637;0;2.07471e+06;5.92529e+06;
460;216.106;0;2.05385e+06;5.94615e+06;
461;216.575;0;2.04112e+06;5.95888e+06;
462;217.043;0;2.02838e+06;5.97162e+06;
463;217.512;0;2.01564e+06;5.98436e+06;
464;217.981;0;2.0029e+06;5.9971e+06;
465;218.45;0;1.99017e+06;6.00983e+06;
466;218.919;0;1.97743e+06;6.02257e+06;
467;219.387;0;1.95264e+06;6.04736e+06;
468;219.856;0;1.92701e+06;6.07299e+06;
469;220.325;0;1.90139e+06;6.09861e+06;
470;220.794;0;1.88112e+06;6.11888e+06;
471;221.262;0;1.86323e+06;6.13677e+06;
472;221.731;0;1.84535e+06;6.15465e+06;
473;222.2;0;1.82873e+06;6.17127e+06;
474;222.669;0;1.81367e+06;6.18633e+06;
475;223.138;0;1.79861e+06;6.20139e+06;
476;223.606;0;1.78355e+06;6.21645e+06;
477;224.075;0;1.76849e+06;6.23151e+06;
478;224.544;0;1.75343e+06;6.24657e+06;
479;225.013;0;1.73837e+06;6.26163e+06;
480;225.481;0;1.71916e+06;6.28084e+06;
481;225.95;0;1.69979e+06;6.30021e+06;
482;226.419;0;1.68041e+06;6.31959e+06;
483;226.888;0;1.66549e+06;6.33451e+06;
484;227.357;0;1.65232e+06;6.34768e+06;
485;227.825;0;1.63915e+06;6.36085e+06;
486;228.294;0;1.62598e+06;6.37402e+06;
487;228.763;0;1.61282e+06;6.38718e+06;
488;229.232;0;1.59965e+06;6.40035e+06;
489;229.7;0;1.58597e+06;6.41403e+06;
490;230.169;0;1.57056e+06;6.42944e+06;
491;230.638;0;1.55516e+06;6.44484e+06;
492;231.107;0;1.53975e+06;6.46025e+06;
493;231.576;0;1.52434e+06;6.47566e+06;
494;232.044;0;1.50894e+06;6.49106e+06;
495;232.513;0;1.49353e+06;6.50647e+06;
496;232.982;0;1.4771e+06;6.5229e+06;
497;233.451;0;1.4603e+06;6.5397e+06;
498;233.919;0;1.44351e+06;6.55649e+06;
499;234.388;0;1.42672e+06;6.57328e+06;
500;234.857;0;1.40992e+06;6.59008e+06;
501;235.326;0;1.39313e+06;6.60687e+06;
502;235.795;0;1.37763e+06;6.62237e+06;
503;236.263;0;1.36589e+06;6.63411e+06;
504;236.732;0;1.35415e+06;6.64585e+06;
505;237.201;0;1.34237e+06;6.65763e+06;
506;237.67;0;1.32811e+06;6.67189e+06;
